county,affiliate
"Middlesex County, MA",MA-Framingham
"Hampden County, MA",MA-Springfield
"Westchester County, NY",NY-Westchester
"New York County, NY",NY-HIAS New York
"Erie County, NY",NY-Buffalo
"Philadelphia County/city, PA",PA-Philadelphia
"New Castle County, DE",DE-Wilmington
"Cuyahoga County, OH",OH-Cleveland Heights
"Delaware County, OH",OH-Columbus
"Pinellas County, FL",FL-Clearwater
"Lucas County, OH",OH-Toledo
"Washtenaw County, MI",MI-Ann Arbor
"Dane County, WI",WI-Madison
"King County, WA",WA-Kent
"Contra Costa County, CA",CA-Walnut Creek
"Santa Barbara County, CA",CA-Los Gatos
"San Diego County, CA",CA-San Diego
"Allegheny County, PA",PA-Pittsburgh
"Mecklenburg County, NC",NC-Charlotte
"Broward County, FL",FL-Lauderdale Lakes
"Fulton County, GA",GA-Atlanta
"Cook County, IL",IL-Chicago
"Montgomery County, MD",MD-Rockville
"Essex County, NJ",NJ-East Orange
"Los Angeles County, CA",CA-Los Angeles
"San Francisco County/city, CA",CA-San Francisco
"Denver County/city, CO",CO-Denver
"Essex County, MA",MA-Lynn
"Berkshire County, MA",MA-Pittsfield
"Baltimore city, MD",MD-Baltimore
"Oakland County, MI",MI-West Bloomfield
"Hennepin County, MN",MN-Minnetonka
"Middlesex County, NJ",NJ-Milltown
"Bergen County, NJ",NJ-Teaneck
"New York County, NY",NY-FEGS NY
"Niagara County, NY",NY-Niagara Falls
"Dallas County, TX",TX-Dallas
"Pierce County, WA",WA-Tacoma
