time,county,unemployment rate
2011-01,"Allegheny County, PA",
2011-02,"Allegheny County, PA",
2011-03,"Allegheny County, PA",7.6
2011-04,"Allegheny County, PA",7.4
2011-05,"Allegheny County, PA",7.2
2011-06,"Allegheny County, PA",6.5
2011-07,"Allegheny County, PA",7.0
2011-08,"Allegheny County, PA",7.6
2011-09,"Allegheny County, PA",7.7
2011-10,"Allegheny County, PA",7.6
2011-11,"Allegheny County, PA",6.9
2011-12,"Allegheny County, PA",6.6
2012-01,"Allegheny County, PA",6.5
2012-02,"Allegheny County, PA",6.5
2012-03,"Allegheny County, PA",7.3
2012-04,"Allegheny County, PA",7.2
2012-05,"Allegheny County, PA",7.0
2012-06,"Allegheny County, PA",6.2
2012-07,"Allegheny County, PA",6.9
2012-08,"Allegheny County, PA",7.4
2012-09,"Allegheny County, PA",7.7
2012-10,"Allegheny County, PA",7.5
2012-11,"Allegheny County, PA",6.6
2012-12,"Allegheny County, PA",6.5
2013-01,"Allegheny County, PA",6.2
2013-02,"Allegheny County, PA",6.7
2013-03,"Allegheny County, PA",7.8
2013-04,"Allegheny County, PA",7.3
2013-05,"Allegheny County, PA",6.8
2013-06,"Allegheny County, PA",6.1
2013-07,"Allegheny County, PA",6.6
2013-08,"Allegheny County, PA",7.0
2013-09,"Allegheny County, PA",7.0
2013-10,"Allegheny County, PA",6.8
2013-11,"Allegheny County, PA",6.0
2013-12,"Allegheny County, PA",6.0
2014-01,"Allegheny County, PA",5.7
2014-02,"Allegheny County, PA",5.4
2014-03,"Allegheny County, PA",6.1
2014-04,"Allegheny County, PA",6.2
2014-05,"Allegheny County, PA",5.9
2014-06,"Allegheny County, PA",4.9
2014-07,"Allegheny County, PA",5.4
2014-08,"Allegheny County, PA",5.6
2014-09,"Allegheny County, PA",6.0
2014-10,"Allegheny County, PA",5.7
2014-11,"Allegheny County, PA",4.8
2014-12,"Allegheny County, PA",4.6
2015-01,"Allegheny County, PA",4.6
2015-02,"Allegheny County, PA",4.5
2015-03,"Allegheny County, PA",5.4
2015-04,"Allegheny County, PA",5.3
2015-05,"Allegheny County, PA",5.1
2015-06,"Allegheny County, PA",4.5
2015-07,"Allegheny County, PA",5.1
2015-08,"Allegheny County, PA",5.2
2015-09,"Allegheny County, PA",5.5
2015-10,"Allegheny County, PA",5.1
2015-11,"Allegheny County, PA",4.6
2015-12,"Allegheny County, PA",4.6
2016-01,"Allegheny County, PA",4.5
2016-02,"Allegheny County, PA",4.4
2016-03,"Allegheny County, PA",5.2
2016-04,"Allegheny County, PA",5.4
2016-05,"Allegheny County, PA",5.3
2016-06,"Allegheny County, PA",4.9
2016-07,"Allegheny County, PA",5.0
2016-08,"Allegheny County, PA",5.5
2016-09,"Allegheny County, PA",5.7
2016-10,"Allegheny County, PA",5.6
2016-11,"Allegheny County, PA",5.1
2016-12,"Allegheny County, PA",5.0
2017-01,"Allegheny County, PA",4.7
2017-02,"Allegheny County, PA",4.6
2017-03,"Allegheny County, PA",5.4
2017-04,"Allegheny County, PA",5.4
2017-05,"Allegheny County, PA",5.0
2017-06,"Allegheny County, PA",4.4
2017-07,"Allegheny County, PA",4.7
2017-08,"Allegheny County, PA",5.0
2017-09,"Allegheny County, PA",5.1
2017-10,"Allegheny County, PA",5.0
2017-11,"Allegheny County, PA",4.3
2017-12,"Allegheny County, PA",4.1
2018-01,"Allegheny County, PA",4.1
2018-02,"Allegheny County, PA",4.1
2018-03,"Allegheny County, PA",4.6
2018-04,"Allegheny County, PA",4.6
2018-05,"Allegheny County, PA",4.2
2018-06,"Allegheny County, PA",3.6
2018-07,"Allegheny County, PA",3.7
2018-08,"Allegheny County, PA",4.4
2018-09,"Allegheny County, PA",4.4
2018-10,"Allegheny County, PA",4.3
2018-11,"Allegheny County, PA",3.6
2018-12,"Allegheny County, PA",3.6
2019-01,"Allegheny County, PA",3.4
2019-02,"Allegheny County, PA",3.5
2019-03,"Allegheny County, PA",4.3
2019-04,"Allegheny County, PA",4.2
2019-05,"Allegheny County, PA",4.1
2019-06,"Allegheny County, PA",3.4
2019-07,"Allegheny County, PA",3.8
2019-08,"Allegheny County, PA",4.2
2019-09,"Allegheny County, PA",4.6
2019-10,"Allegheny County, PA",4.6
2019-11,"Allegheny County, PA",4.0
2019-12,"Allegheny County, PA",4.2
2020-01,"Allegheny County, PA",4.1
2020-02,"Allegheny County, PA",4.1
2020-03,"Allegheny County, PA",
2020-04,"Allegheny County, PA",
2020-05,"Allegheny County, PA",
2020-06,"Allegheny County, PA",
2020-07,"Allegheny County, PA",
2020-08,"Allegheny County, PA",
2020-09,"Allegheny County, PA",
2020-10,"Allegheny County, PA",
2020-11,"Allegheny County, PA",
2020-12,"Allegheny County, PA",
2021-01,"Allegheny County, PA",
2021-02,"Allegheny County, PA",
2011-01,"Baltimore city, MD",
2011-02,"Baltimore city, MD",
2011-03,"Baltimore city, MD",11.4
2011-04,"Baltimore city, MD",11.1
2011-05,"Baltimore city, MD",10.6
2011-06,"Baltimore city, MD",10.2
2011-07,"Baltimore city, MD",10.4
2011-08,"Baltimore city, MD",11.2
2011-09,"Baltimore city, MD",11.2
2011-10,"Baltimore city, MD",11.1
2011-11,"Baltimore city, MD",10.5
2011-12,"Baltimore city, MD",10.2
2012-01,"Baltimore city, MD",9.9
2012-02,"Baltimore city, MD",9.8
2012-03,"Baltimore city, MD",10.5
2012-04,"Baltimore city, MD",10.3
2012-05,"Baltimore city, MD",9.9
2012-06,"Baltimore city, MD",9.4
2012-07,"Baltimore city, MD",9.9
2012-08,"Baltimore city, MD",10.7
2012-09,"Baltimore city, MD",10.9
2012-10,"Baltimore city, MD",10.7
2012-11,"Baltimore city, MD",10.0
2012-12,"Baltimore city, MD",10.0
2013-01,"Baltimore city, MD",9.8
2013-02,"Baltimore city, MD",9.9
2013-03,"Baltimore city, MD",10.8
2013-04,"Baltimore city, MD",10.3
2013-05,"Baltimore city, MD",9.8
2013-06,"Baltimore city, MD",9.3
2013-07,"Baltimore city, MD",9.5
2013-08,"Baltimore city, MD",10.1
2013-09,"Baltimore city, MD",10.1
2013-10,"Baltimore city, MD",9.8
2013-11,"Baltimore city, MD",9.2
2013-12,"Baltimore city, MD",9.4
2014-01,"Baltimore city, MD",9.1
2014-02,"Baltimore city, MD",8.8
2014-03,"Baltimore city, MD",9.5
2014-04,"Baltimore city, MD",9.3
2014-05,"Baltimore city, MD",8.9
2014-06,"Baltimore city, MD",8.0
2014-07,"Baltimore city, MD",8.4
2014-08,"Baltimore city, MD",8.8
2014-09,"Baltimore city, MD",9.0
2014-10,"Baltimore city, MD",8.9
2014-11,"Baltimore city, MD",8.0
2014-12,"Baltimore city, MD",8.0
2015-01,"Baltimore city, MD",8.0
2015-02,"Baltimore city, MD",7.8
2015-03,"Baltimore city, MD",8.7
2015-04,"Baltimore city, MD",8.4
2015-05,"Baltimore city, MD",7.9
2015-06,"Baltimore city, MD",7.2
2015-07,"Baltimore city, MD",7.5
2015-08,"Baltimore city, MD",7.8
2015-09,"Baltimore city, MD",8.0
2015-10,"Baltimore city, MD",7.7
2015-11,"Baltimore city, MD",6.9
2015-12,"Baltimore city, MD",6.9
