Language Name,Language Code,Effective Date,Deleted Flag
Albanian (ArbÎreshÎ),AAE,3/13/2017 13:07,N
Afar,AAR,10/10/2015 10:55,N
Albanian (Arvanitika),AAT,3/13/2017 13:07,N
Acehnese,ACE,9/13/2002 13:10,N
Acholi,ACH,11/15/2002 12:53,N
Arabic (Mesopotamian Spoken),ACM,3/13/2017 13:07,Y
Arabic (Tunisian Spoken),AEB,3/13/2017 13:07,Y
Arabic (Saidi Spoken),AEC,3/13/2017 13:07,Y
Afrikaans,AFK,12/6/2001 13:28,N
Ado,AJ,12/6/2001 13:28,N
Ankole,AKL,10/10/2015 10:55,N
Albanian (Tosk),ALN,3/13/2017 13:07,N
Albanian (Gheg),ALS,3/13/2017 13:07,N
Aluru,ALU,3/31/2016 12:46,N
Amharic,AMH,12/6/2001 13:28,N
Anuak,ANK,6/21/2002 15:04,N
Angolan,AO,12/6/2001 13:28,N
Arabic (North Levantine Spoken),APC,3/13/2017 13:07,Y
Arabic (Sudanese Spoken),APD,3/13/2017 13:07,N
Arabic,AR,12/6/2001 13:28,N
Arakan ,ARA,10/8/2009 7:45,N
Armenian,ARM,12/6/2001 13:28,N
Arabic (Algerian Spoken),ARQ,3/13/2017 13:07,Y
Arabic (Najdi Spoken),ARS,3/13/2017 13:07,Y
Arabic (Moroccan Spoken),ARY,3/13/2017 13:07,Y
Arabic (Egyptian Spoken),ARZ,3/13/2017 13:07,Y
Assamese,ASM,12/6/2001 13:28,N
Assyrian,ASY,9/24/2002 23:28,N
Awadhi,AWD,12/6/2001 13:28,N
Arabic (Sanaani Spoken),AYN,3/13/2017 13:07,Y
Azerbaijani (Azeri),AZB,5/9/2006 9:48,N
Azerbaijani (North),AZE,3/13/2017 13:07,N
Azzande,AZN,11/15/2002 12:53,N
Bantu,BA,12/6/2001 13:28,N
Bari,BAR,11/15/2002 12:53,N
Bassa,BAS,9/27/2002 21:36,N
Behdini,BDF,12/6/2001 13:28,N
Benadir,BE,12/6/2001 13:28,N
Bargo,BG,3/3/2010 9:44,N
Haryanvi,BGC,12/6/2001 13:28,N
Bani-Halba,BH,3/3/2010 9:44,N
Bhojpuri,BHJ,12/6/2001 13:28,N
Bulgarian,BLG,12/6/2001 13:28,N
Belin,BLN,10/10/2015 10:55,N
Bemba,BMA,2/15/2012 11:20,N
Bembe,BMB,6/15/2016 16:08,Y
Burmese,BMS,12/6/2001 13:28,N
Bengali,BNG,12/6/2001 13:28,N
Banjuni,BNJ,10/10/2015 10:55,N
Bosnian,BOS,5/2/2003 16:06,N
